epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.94097,1.26986,0.45614,1,1.38623,0.00331183,0.00331183,0.00331183
2,8.39983,1.06784,0.57895,1,1.19531,0.00663858,0.00663858,0.00663858
3,12.1827,0.9819,0.52632,1,1.44971,0.00995874,0.00995874,0.00995874
4,15.2647,0.97305,0.57018,1,0.99463,0.0099703,0.0099703,0.0099703
5,18.2781,0.91072,0.59649,1,0.91003,0.0099604,0.0099604,0.0099604
6,21.4237,0.92144,0.62281,1,0.98694,0.0099505,0.0099505,0.0099505
7,24.5163,0.86312,0.66667,1,0.96497,0.0099406,0.0099406,0.0099406
8,27.6536,0.81837,0.60526,1,1.09241,0.0099307,0.0099307,0.0099307
9,30.6167,0.83054,0.68421,1,0.86743,0.0099208,0.0099208,0.0099208
10,33.7221,0.75182,0.70175,1,0.9198,0.0099109,0.0099109,0.0099109
11,36.8457,0.71504,0.75439,1,0.95117,0.009901,0.009901,0.009901
12,39.9508,0.68166,0.79825,1,0.68756,0.0098911,0.0098911,0.0098911
13,43.0765,0.66478,0.76316,1,0.63354,0.0098812,0.0098812,0.0098812
14,46.06,0.64818,0.75439,1,0.6936,0.0098713,0.0098713,0.0098713
15,49.0743,0.61146,0.83333,1,0.55176,0.0098614,0.0098614,0.0098614
16,52.1558,0.59519,0.79825,1,0.53912,0.0098515,0.0098515,0.0098515
17,55.1049,0.59426,0.84211,1,0.52625,0.0098416,0.0098416,0.0098416
18,58.2025,0.52599,0.78947,1,0.68176,0.0098317,0.0098317,0.0098317
19,61.2246,0.53136,0.83333,1,0.74823,0.0098218,0.0098218,0.0098218
20,64.2535,0.53836,0.83333,1,0.67163,0.0098119,0.0098119,0.0098119
21,67.209,0.47318,0.79825,1,0.58411,0.009802,0.009802,0.009802
22,70.22,0.51275,0.77193,1,0.55692,0.0097921,0.0097921,0.0097921
23,73.4301,0.47698,0.86842,1,0.55933,0.0097822,0.0097822,0.0097822
24,76.5472,0.45059,0.84211,1,0.53204,0.0097723,0.0097723,0.0097723
25,79.5245,0.44127,0.80702,1,0.56116,0.0097624,0.0097624,0.0097624
26,82.4895,0.43509,0.85088,1,0.53928,0.0097525,0.0097525,0.0097525
27,85.4576,0.42364,0.85965,1,0.54553,0.0097426,0.0097426,0.0097426
28,88.6301,0.41518,0.84211,1,0.50891,0.0097327,0.0097327,0.0097327
29,91.6242,0.42865,0.83333,1,0.47983,0.0097228,0.0097228,0.0097228
30,94.5733,0.3938,0.87719,1,0.54129,0.0097129,0.0097129,0.0097129
31,97.6788,0.4027,0.86842,1,0.47177,0.009703,0.009703,0.009703
32,100.694,0.36132,0.86842,1,0.53217,0.0096931,0.0096931,0.0096931
33,104.004,0.35836,0.89474,1,0.47165,0.0096832,0.0096832,0.0096832
34,107.132,0.33662,0.88596,1,0.53412,0.0096733,0.0096733,0.0096733
35,110.186,0.35787,0.85088,1,0.59148,0.0096634,0.0096634,0.0096634
36,113.167,0.32916,0.85088,1,0.61794,0.0096535,0.0096535,0.0096535
37,116.198,0.32501,0.88596,1,0.50343,0.0096436,0.0096436,0.0096436
38,119.341,0.3244,0.85965,1,0.57404,0.0096337,0.0096337,0.0096337
39,122.414,0.34277,0.85965,1,0.87927,0.0096238,0.0096238,0.0096238
40,125.413,0.3029,0.88596,1,0.52701,0.0096139,0.0096139,0.0096139
41,128.408,0.2921,0.88596,1,0.66795,0.009604,0.009604,0.009604
42,131.329,0.29075,0.88596,1,0.54791,0.0095941,0.0095941,0.0095941
43,134.563,0.27249,0.85965,1,0.62262,0.0095842,0.0095842,0.0095842
44,137.547,0.28618,0.86842,1,0.58368,0.0095743,0.0095743,0.0095743
45,140.47,0.26282,0.85965,1,0.7171,0.0095644,0.0095644,0.0095644
46,143.506,0.25182,0.88596,1,0.71332,0.0095545,0.0095545,0.0095545
47,146.453,0.31323,0.88596,1,0.60327,0.0095446,0.0095446,0.0095446
48,149.445,0.2634,0.87719,1,0.55237,0.0095347,0.0095347,0.0095347
49,152.447,0.2622,0.88596,1,0.82629,0.0095248,0.0095248,0.0095248
50,155.419,0.25375,0.87719,1,0.54617,0.0095149,0.0095149,0.0095149
51,158.398,0.2796,0.89474,1,0.58569,0.009505,0.009505,0.009505
52,161.514,0.25112,0.87719,1,0.5929,0.0094951,0.0094951,0.0094951
53,164.493,0.23473,0.91228,1,0.62817,0.0094852,0.0094852,0.0094852
54,167.738,0.26675,0.88596,1,0.56387,0.0094753,0.0094753,0.0094753
55,171.124,0.25228,0.90351,1,0.56717,0.0094654,0.0094654,0.0094654
56,174.196,0.2385,0.88596,1,0.54346,0.0094555,0.0094555,0.0094555
57,177.202,0.20905,0.88596,1,0.59619,0.0094456,0.0094456,0.0094456
58,180.304,0.20796,0.90351,1,0.50694,0.0094357,0.0094357,0.0094357
59,183.436,0.23279,0.92105,1,0.4895,0.0094258,0.0094258,0.0094258
60,186.567,0.21687,0.89474,1,0.45459,0.0094159,0.0094159,0.0094159
61,189.596,0.20063,0.88596,1,0.71381,0.009406,0.009406,0.009406
62,192.627,0.25904,0.90351,1,0.63642,0.0093961,0.0093961,0.0093961
63,195.614,0.21387,0.89474,1,0.65015,0.0093862,0.0093862,0.0093862
64,198.625,0.19479,0.91228,1,0.66263,0.0093763,0.0093763,0.0093763
65,201.994,0.20466,0.89474,1,0.60721,0.0093664,0.0093664,0.0093664
66,205.109,0.20656,0.91228,1,0.51372,0.0093565,0.0093565,0.0093565
67,208.15,0.19767,0.90351,1,0.70422,0.0093466,0.0093466,0.0093466
68,212.148,0.21826,0.89474,1,0.65407,0.0093367,0.0093367,0.0093367
69,215.126,0.18994,0.89474,1,0.65575,0.0093268,0.0093268,0.0093268
70,218.173,0.17236,0.90351,1,0.71936,0.0093169,0.0093169,0.0093169
71,221.881,0.1805,0.89474,1,0.67319,0.009307,0.009307,0.009307
72,225.013,0.18645,0.90351,1,0.54523,0.0092971,0.0092971,0.0092971
73,228.203,0.16261,0.92105,1,0.73572,0.0092872,0.0092872,0.0092872
74,231.363,0.15175,0.9386,1,0.46238,0.0092773,0.0092773,0.0092773
75,234.579,0.17422,0.89474,1,0.75522,0.0092674,0.0092674,0.0092674
76,237.885,0.17551,0.91228,1,0.6647,0.0092575,0.0092575,0.0092575
77,240.925,0.19274,0.89474,1,0.55966,0.0092476,0.0092476,0.0092476
78,243.884,0.15897,0.91228,1,0.73633,0.0092377,0.0092377,0.0092377
79,247.4,0.14988,0.89474,1,0.66687,0.0092278,0.0092278,0.0092278
80,250.628,0.15721,0.90351,1,0.6261,0.0092179,0.0092179,0.0092179
81,253.563,0.18882,0.90351,1,0.69891,0.009208,0.009208,0.009208
82,256.527,0.16412,0.91228,1,0.62653,0.0091981,0.0091981,0.0091981
83,259.492,0.17185,0.91228,1,0.55438,0.0091882,0.0091882,0.0091882
84,263.232,0.13023,0.91228,1,0.78171,0.0091783,0.0091783,0.0091783
85,266.227,0.1689,0.92105,1,0.58223,0.0091684,0.0091684,0.0091684
86,269.221,0.13969,0.89474,1,0.6068,0.0091585,0.0091585,0.0091585
87,272.325,0.16347,0.92105,1,0.54432,0.0091486,0.0091486,0.0091486
88,275.284,0.13543,0.90351,1,0.71539,0.0091387,0.0091387,0.0091387
89,278.298,0.11546,0.92982,1,0.68021,0.0091288,0.0091288,0.0091288
90,281.355,0.14693,0.90351,1,0.67729,0.0091189,0.0091189,0.0091189
91,284.35,0.17035,0.91228,1,0.61786,0.009109,0.009109,0.009109
92,287.317,0.13144,0.90351,1,0.7991,0.0090991,0.0090991,0.0090991
93,290.319,0.1203,0.92105,1,0.58405,0.0090892,0.0090892,0.0090892
94,293.594,0.13569,0.90351,1,0.73044,0.0090793,0.0090793,0.0090793
95,296.592,0.12987,0.91228,1,0.60376,0.0090694,0.0090694,0.0090694
96,299.638,0.13132,0.91228,1,0.77793,0.0090595,0.0090595,0.0090595
97,302.607,0.12688,0.90351,1,0.69083,0.0090496,0.0090496,0.0090496
98,305.801,0.12932,0.90351,1,0.63643,0.0090397,0.0090397,0.0090397
99,309.339,0.14078,0.91228,1,0.81158,0.0090298,0.0090298,0.0090298
100,312.323,0.11889,0.92982,1,0.55194,0.0090199,0.0090199,0.0090199
101,315.281,0.11678,0.92105,1,0.73602,0.00901,0.00901,0.00901
102,318.297,0.14012,0.92982,1,0.57814,0.0090001,0.0090001,0.0090001
103,321.318,0.10171,0.92982,1,0.55527,0.0089902,0.0089902,0.0089902
104,324.705,0.10276,0.92105,1,0.59406,0.0089803,0.0089803,0.0089803
105,327.766,0.12481,0.91228,1,0.77972,0.0089704,0.0089704,0.0089704
106,330.78,0.14924,0.91228,1,0.5795,0.0089605,0.0089605,0.0089605
107,333.761,0.14296,0.92105,1,0.55816,0.0089506,0.0089506,0.0089506
108,336.723,0.13928,0.92105,1,0.68002,0.0089407,0.0089407,0.0089407
109,339.821,0.13466,0.92105,1,0.56509,0.0089308,0.0089308,0.0089308
110,342.826,0.10551,0.92982,1,0.64278,0.0089209,0.0089209,0.0089209
111,345.807,0.12041,0.91228,1,0.58316,0.008911,0.008911,0.008911
112,348.791,0.11172,0.92105,1,0.75287,0.0089011,0.0089011,0.0089011
113,351.787,0.10984,0.92105,1,0.83359,0.0088912,0.0088912,0.0088912
114,355.296,0.11254,0.92105,1,0.86768,0.0088813,0.0088813,0.0088813
115,358.288,0.12557,0.88596,1,0.68721,0.0088714,0.0088714,0.0088714
116,361.279,0.112,0.9386,1,0.66165,0.0088615,0.0088615,0.0088615
117,364.401,0.1127,0.92105,1,0.6268,0.0088516,0.0088516,0.0088516
118,367.405,0.10048,0.90351,1,0.93552,0.0088417,0.0088417,0.0088417
119,370.339,0.13361,0.90351,1,0.54567,0.0088318,0.0088318,0.0088318
120,373.301,0.14044,0.91228,1,0.57449,0.0088219,0.0088219,0.0088219
121,376.289,0.11796,0.92105,1,0.64276,0.008812,0.008812,0.008812
